feature,importance
liveliness_score,0.06136638
reviews_per_month,0.061350513
instant_bookable,0.057856947
room_type_encoded,0.047602307
nightlife_score,0.044577908
walkability_score,0.0398609
minimum_nights,0.03961065
host_listings_count,0.038458604
convenience_score,0.037616327
property_type_encoded,0.0366918
is_superhost,0.035690594
number_of_reviews,0.03137511
vibe_score,0.030221011
review_scores_value,0.028541109
price_per_person,0.028511314
price_clean,0.027427554
listing_age_days,0.025081702
host_identity_verified,0.023631798
amenities_count,0.020105507
charm_score,0.019201454
sentiment_mean,0.01918266
epsilon_price,0.01916146
local_authentic_score,0.019131437
review_scores_rating,0.018766414
longitude,0.018455243
food_scene_score,0.018005148
neighbourhood_encoded,0.017999653
family_friendly_score,0.017222948
latitude,0.016633654
safety_score,0.016028007
beds,0.015320361
review_scores_location,0.015084493
review_scores_cleanliness,0.014109179
bathrooms_final,0.0139313815
bedrooms,0.013317693
accommodates,0.012870804
has_reviews,0.0
