column,dtype,non_null_count,null_pct,unique_values,mean,std,min,max
id,int64,96871,0.0,16,3.3262276635938517,2.0786053795486987,1.0,16.0
occ_90,int64,96871,0.0,93,27.694263505073756,15.214728837407774,0.0,99.0
high_demand_90,float64,96871,0.0,33,45.442011703447236,2.7644152531844752,35.64489795918367,50.48800348989385
property_type,float64,96871,0.0,32,1.3301245986931074,0.6796837233807932,0.0,30.0
room_type,float64,96871,0.0,22,1.5375292915320375,0.9905786825696717,0.0,50.0
accommodates,float64,96871,0.0,27,1.9700116649977806,1.1554596764796516,0.0,50.0
bedrooms,float64,96871,0.0,33,4.519396773528557,2.771290506147574,0.303030303030303,10.0
bathrooms_final,float64,96871,0.0,33,6.734307387237573,2.4590686529283072,0.303030303030303,10.0
beds,float64,96871,0.0,33,4.337058061908636,2.6538453064201266,0.303030303030303,10.0
amenities_count,float64,96871,0.0,33,6.3731741963617345,2.5883558410524183,0.303030303030303,10.0
neighbourhood,int64,96871,0.0,2,0.7509884279092814,0.432442758671581,0.0,1.0
latitude,int64,96871,0.0,2,0.47580803336395827,0.4994169835788811,0.0,1.0
longitude,int64,96871,0.0,2,0.8719121305653911,0.3341893475826763,0.0,1.0
host_listings_count,float64,96871,0.0,147,50.06821442949902,399.32243761115603,1.0,5469.0
is_superhost,int64,96871,0.0,96871,6.894448176786734e+17,5.941221984003247e+17,13913.0,1.5089644180569539e+18
host_identity_verified,int64,96871,0.0,2,0.3252160089190779,0.46845791900107253,0.0,1.0
number_of_reviews,int64,96871,0.0,2,0.17747313437458062,0.38207057971138964,0.0,1.0
reviews_per_month,float64,96871,0.0,54112,51.50973982394052,0.0490668823841057,51.295937,51.68263
review_scores_rating,float64,72749,24.9,4591,1338.9866939751748,1209.7673730847007,0.0,5748.0
review_scores_accuracy,float64,96871,0.0,33,6.908293847831995,2.6793298294975543,0.303030303030303,10.0
review_scores_cleanliness,float64,96871,0.0,33,5.391725265371661,2.0902112844137894,0.303030303030303,10.0
review_scores_checkin,float64,96871,0.0,63584,-0.12763797732931664,0.10111245075560481,-0.49676,0.27896
review_scores_communication,int64,96871,0.0,136,5.4402968896780255,23.686680781928224,1.0,1125.0
review_scores_location,object,96871,0.0,33,,,,
review_scores_value,float64,96871,0.0,33,6.69761379003567,2.4477303800132537,0.303030303030303,10.0
instant_bookable,int64,96871,0.0,571,21.65762715363731,50.368643995521,0.0,1902.0
minimum_nights,float64,96871,0.0,91,0.598309779672623,0.39815448205426374,0.0,1.0
listing_age_days,float64,61963,36.04,1350,229.9169827154915,4437.589295624429,7.0,1085147.0
has_reviews,float64,61963,36.04,3608,84.64760476710087,4375.991973601873,0.8666666666666667,1085147.0
price_per_person,object,96871,0.0,91,,,,
price_clean,float64,96871,0.0,33,4.202145746467576,2.5889152950518985,0.303030303030303,10.0
vibe_score,int64,96871,0.0,33,5692.49166417194,3874.5545250540204,245.0,13803.0
sentiment_mean,float64,96871,0.0,179,4.762211497765069,0.4211361653577237,0.0,5.0
sentiment_std,float64,96871,0.0,169,4.825339059161153,0.37787614479511933,0.0,5.0
subjectivity,float64,96871,0.0,205,4.689486120717242,0.45325392344614956,0.0,5.0
review_count,float64,96871,0.0,165,4.849622900558474,0.37494037067025787,0.0,5.0
avg_review_length,float64,96871,0.0,169,4.7540246306944285,0.3595336842161017,0.0,5.0
walkability_score,float64,96871,0.0,185,4.721775557184297,0.4338563818974958,0.0,5.0
safety_score,float64,96871,0.0,188,4.649193876392316,0.4479467662074462,0.0,5.0
nightlife_score,float64,96871,0.0,911,0.7437294959275739,1.208697429755583,0.0,36.96
quietness_score,object,96871,0.0,4,,,,
family_friendly_score,float64,96871,0.0,33,5.662166148483004,2.781327375724959,0.303030303030303,10.0
local_authentic_score,float64,96871,0.0,33,0.3555343637701344,0.017228325104773484,0.333878949335207,0.4164780749512939
convenience_score,float64,96871,0.0,33,0.23030994595024243,0.00965653178984955,0.2015481238377768,0.2419820190401266
food_scene_score,float64,96871,0.0,33,0.5528556368177066,0.021738345514965715,0.5240113069937472,0.6203643676568407
liveliness_score,float64,96871,0.0,33,52.83477408099431,17.6008940410419,15.1,83.3
charm_score,float64,96871,0.0,33,6.621057745336425,2.561581248528947,0.303030303030303,10.0
