Column,Dtype,Non-Null,Null_Pct,Unique
id,int64,96871,0.0,96871
listing_url,object,96871,0.0,96871
scrape_id,int64,96871,0.0,1
last_scraped,object,96871,0.0,5
source,object,96871,0.0,2
name,object,96871,0.0,93340
description,object,94421,2.5,83379
neighborhood_overview,object,41208,57.5,33388
picture_url,object,96865,0.0,94609
host_id,int64,96871,0.0,55646
host_url,object,96871,0.0,55646
host_name,object,96828,0.0,16672
host_since,object,96830,0.0,5489
host_location,object,73100,24.5,1766
host_about,object,49833,48.6,24306
host_response_time,object,65164,32.7,4
host_response_rate,object,65164,32.7,92
host_acceptance_rate,object,69111,28.7,101
host_is_superhost,object,95105,1.8,2
host_thumbnail_url,object,96830,0.0,52765
host_picture_url,object,96830,0.0,52765
host_neighbourhood,object,45850,52.7,624
host_listings_count,float64,96830,0.0,147
host_total_listings_count,float64,96830,0.0,216
host_verifications,object,96830,0.0,8
host_has_profile_pic,object,96830,0.0,2
host_identity_verified,object,96830,0.0,2
neighbourhood,object,41209,57.5,1
neighbourhood_cleansed,object,96871,0.0,33
neighbourhood_group_cleansed,float64,0,100.0,0
latitude,float64,96871,0.0,54112
longitude,float64,96871,0.0,63584
property_type,object,96871,0.0,91
room_type,object,96871,0.0,4
accommodates,int64,96871,0.0,16
bathrooms,float64,62025,36.0,30
bathrooms_text,object,96718,0.2,50
bedrooms,float64,84096,13.2,22
beds,float64,61951,36.0,27
amenities,object,96871,0.0,85530
price,object,61963,36.0,1350
minimum_nights,int64,96871,0.0,136
maximum_nights,int64,96871,0.0,305
minimum_minimum_nights,float64,96868,0.0,125
maximum_minimum_nights,float64,96868,0.0,160
minimum_maximum_nights,float64,96868,0.0,284
maximum_maximum_nights,float64,96868,0.0,289
minimum_nights_avg_ntm,float64,96871,0.0,750
maximum_nights_avg_ntm,float64,96871,0.0,2284
calendar_updated,float64,0,100.0,0
has_availability,object,92622,4.4,1
availability_30,int64,96871,0.0,31
availability_60,int64,96871,0.0,61
availability_90,int64,96871,0.0,91
availability_365,int64,96871,0.0,366
calendar_last_scraped,object,96871,0.0,5
number_of_reviews,int64,96871,0.0,571
number_of_reviews_ltm,int64,96871,0.0,146
number_of_reviews_l30d,int64,96871,0.0,29
availability_eoy,int64,96871,0.0,110
number_of_reviews_ly,int64,96871,0.0,148
estimated_occupancy_l365d,int64,96871,0.0,104
estimated_revenue_l365d,float64,61963,36.0,7651
first_review,object,72749,24.9,4591
last_review,object,72749,24.9,3605
review_scores_rating,float64,72749,24.9,184
review_scores_accuracy,float64,72734,24.9,177
review_scores_cleanliness,float64,72740,24.9,204
review_scores_checkin,float64,72706,24.9,167
review_scores_communication,float64,72729,24.9,164
review_scores_location,float64,72705,24.9,169
review_scores_value,float64,72705,24.9,187
license,float64,0,100.0,0
instant_bookable,object,96871,0.0,2
calculated_host_listings_count,int64,96871,0.0,98
calculated_host_listings_count_entire_homes,int64,96871,0.0,87
calculated_host_listings_count_private_rooms,int64,96871,0.0,46
calculated_host_listings_count_shared_rooms,int64,96871,0.0,13
reviews_per_month,float64,72749,24.9,910
price_clean,float64,61963,36.0,1350
occ_30,float64,96871,0.0,31
occ_60,float64,96871,0.0,61
occ_90,float64,96871,0.0,91
occ_365,float64,96871,0.0,366
high_demand_90,int64,96871,0.0,2
